title,lat,lon,url
Tondi 46,59.408434778595,24.724227283523,https://www.manguvaljakud.tallinn.ee/object/view/1795
Mooni 30d,59.426177628651,24.710618813214,https://www.manguvaljakud.tallinn.ee/object/view/1796
Kirsi 8 juures,59.422142024083,24.702804238623,https://www.manguvaljakud.tallinn.ee/object/view/1799
Kuldnoka 12a,59.419876615549,24.700768952822,https://www.manguvaljakud.tallinn.ee/object/view/1800
Järve 25a,59.400378873893,24.719746815384,https://www.manguvaljakud.tallinn.ee/object/view/1801
Kotka 8a,59.42172377531,24.728212824468,https://www.manguvaljakud.tallinn.ee/object/view/1803
Tedre 77a,59.420448858525,24.705722134818,https://www.manguvaljakud.tallinn.ee/object/view/1805
Tedre 81a,59.420725770225,24.704035880239,https://www.manguvaljakud.tallinn.ee/object/view/1807
Anni 6-8 juures,59.438566025499,24.849828886861,https://www.manguvaljakud.tallinn.ee/object/view/1808
Arbu 13h,59.443837449595,24.844283064319,https://www.manguvaljakud.tallinn.ee/object/view/1809
M. Härma 1a,59.438058767904,24.836866384303,https://www.manguvaljakud.tallinn.ee/object/view/1814
Kalevipoja põik 2b,59.437354294218,24.829983841923,https://www.manguvaljakud.tallinn.ee/object/view/1816
Punane 43c,59.435468017516,24.835117168637,https://www.manguvaljakud.tallinn.ee/object/view/1817
Paasiku 3 peremänguväljak plats 1,59.449498694786,24.849139508532,https://www.manguvaljakud.tallinn.ee/object/view/1822
Kihnu 16 ja 18 ees,59.453437000538,24.863334498559,https://www.manguvaljakud.tallinn.ee/object/view/1825
Kivila 13 ja 15 juures,59.445494243789,24.872723242494,https://www.manguvaljakud.tallinn.ee/object/view/1829
Kivila 16 ja 18 juures ,59.444037822481,24.8699461552,https://www.manguvaljakud.tallinn.ee/object/view/1830
Kivila 34 juures,59.444985389532,24.875858150321,https://www.manguvaljakud.tallinn.ee/object/view/1833
Kivila 3h peremänguväljak plats 1,59.446089807178,24.866854283743,https://www.manguvaljakud.tallinn.ee/object/view/1837
Kivila 19h,59.448001125509,24.872257825593,https://www.manguvaljakud.tallinn.ee/object/view/1838
Kivimurru 45 juures,59.425708214207,24.794716311732,https://www.manguvaljakud.tallinn.ee/object/view/1840
Võru 4,59.441048733574,24.834383216521,https://www.manguvaljakud.tallinn.ee/object/view/1845
K. Kärberi 23-27 juures,59.447005271451,24.885843968748,https://www.manguvaljakud.tallinn.ee/object/view/1847
K. Kärberi 26-32,59.445332262549,24.885313729985,https://www.manguvaljakud.tallinn.ee/object/view/1848
K. Kärberi 33-37 juures,59.448090101488,24.891160335349,https://www.manguvaljakud.tallinn.ee/object/view/1849
K. Kärberi 60 õuealal,59.447161862882,24.893855362658,https://www.manguvaljakud.tallinn.ee/object/view/1854
Linnamäe tee 2 juures,59.448403795203,24.866168813256,https://www.manguvaljakud.tallinn.ee/object/view/1862
Linnamäe tee 37 taga,59.450801934075,24.871538699144,https://www.manguvaljakud.tallinn.ee/object/view/1864
Linnamäe tee 43 ja 45 juures,59.450543812894,24.877197649586,https://www.manguvaljakud.tallinn.ee/object/view/1865
Linnamäe tee 79 ja 81 juures,59.449955712956,24.883408458627,https://www.manguvaljakud.tallinn.ee/object/view/1868
Linnamäe tee 85a,59.449978391941,24.884789236218,https://www.manguvaljakud.tallinn.ee/object/view/1869
Loitsu 2 ees,59.441526613891,24.840756911771,https://www.manguvaljakud.tallinn.ee/object/view/1871
Loitsu 6 ees,59.442061516183,24.840071497424,https://www.manguvaljakud.tallinn.ee/object/view/1872
Loitsu 5 juures,59.442189351357,24.837984067672,https://www.manguvaljakud.tallinn.ee/object/view/1873
Läänemere tee 20 ja 22 vahel,59.452619760579,24.872046108439,https://www.manguvaljakud.tallinn.ee/object/view/1874
Läänemere tee 3 juures,59.451757506977,24.8628980243,https://www.manguvaljakud.tallinn.ee/object/view/1876
Läänemere tee 41a,59.453181851277,24.885012857421,https://www.manguvaljakud.tallinn.ee/object/view/1878
Läänemere tee 62a,59.452064767224,24.88534490798,https://www.manguvaljakud.tallinn.ee/object/view/1879
Mahtra 10 ja 16 juures,59.441185279801,24.871842020143,https://www.manguvaljakud.tallinn.ee/object/view/1882
Mahtra 22 ja 26 juures,59.439643200525,24.872948943693,https://www.manguvaljakud.tallinn.ee/object/view/1883
Mahtra 36-42,59.438686362061,24.875088735295,https://www.manguvaljakud.tallinn.ee/object/view/1886
Mahtra 54-58 hoovis,59.439618337803,24.878880798643,https://www.manguvaljakud.tallinn.ee/object/view/1887
Mahtra 68 ees ,59.440925895176,24.879340247066,https://www.manguvaljakud.tallinn.ee/object/view/1890
Sikupilli 6,59.426501829106,24.793559245854,https://www.manguvaljakud.tallinn.ee/object/view/1891
Sikupilli 14a,59.427865433037,24.794844167712,https://www.manguvaljakud.tallinn.ee/object/view/1892
Mustakivi ja Linnamäe tee vaheline haljasala,59.447939577081,24.863784758652,https://www.manguvaljakud.tallinn.ee/object/view/1897
Pae 58a,59.43477235286,24.816800974745,https://www.manguvaljakud.tallinn.ee/object/view/1902
Pae 64 ja 66 juures,59.434854799491,24.819382362763,https://www.manguvaljakud.tallinn.ee/object/view/1905
Paekaare 24 taga,59.438190618517,24.821021842735,https://www.manguvaljakud.tallinn.ee/object/view/1909
Paekaare 44,59.43680701709,24.826454073449,https://www.manguvaljakud.tallinn.ee/object/view/1912
Paekaare 58-60,59.435698446467,24.824928720763,https://www.manguvaljakud.tallinn.ee/object/view/1914
Paekaare 8 ja 12 vahel,59.436498313147,24.816089932632,https://www.manguvaljakud.tallinn.ee/object/view/1916
Pikri 3 juures,59.437010405629,24.841905317957,https://www.manguvaljakud.tallinn.ee/object/view/1923
Pinna 19 ja Kalevipoja 12 vaheline haljasala plats 1,59.438177305196,24.832027430348,https://www.manguvaljakud.tallinn.ee/object/view/1929
Punane 1 ja Pae 44 vaheline ala,59.432541845644,24.813069088785,https://www.manguvaljakud.tallinn.ee/object/view/1930
Punane 21 taga,59.434746812681,24.82160175495,https://www.manguvaljakud.tallinn.ee/object/view/1932
Punane 33 juures,59.434071524922,24.825458175663,https://www.manguvaljakud.tallinn.ee/object/view/1935
Punane 57,59.436821498184,24.845821936705,https://www.manguvaljakud.tallinn.ee/object/view/1936
Raadiku 1 ja 7 vahel,59.442428948531,24.879604454333,https://www.manguvaljakud.tallinn.ee/object/view/1940
Raadiku 25,59.443624212638,24.887981653412,https://www.manguvaljakud.tallinn.ee/object/view/1942
Ümera 52 ja Sinimäe 4 taga,59.444152224489,24.899515883196,https://www.manguvaljakud.tallinn.ee/object/view/1945
